Ano;Dia;Hora;Casa;Fora;GC;GF;Res
2012;16/09/2012;22:30:00;Ponte Preta;Botafogo RJ;0;0;e
2012;22/09/2012;22:30:00;Figueirense;Palmeiras;1;3;F
2012;22/09/2012;22:30:00;Fluminense;Nautico;2;1;C
2012;23/09/2012;01:00:00;Santos;Portuguesa;1;3;F
2012;23/09/2012;20:00:00;Atletico GO;Flamengo RJ;1;2;F
2012;23/09/2012;20:00:00;Botafogo RJ;Corinthians;2;2;e
2012;23/09/2012;20:00:00;Ponte Preta;Vasco;0;0;e
2012;23/09/2012;20:00:00;Sao Paulo;Cruzeiro;1;0;C
2012;23/09/2012;22:30:00;Atletico-MG;Gremio;0;0;e
2012;23/09/2012;22:30:00;Internacional;Bahia;3;1;C
2012;23/09/2012;22:30:00;Sport Recife;Coritiba;1;0;C
2012;27/09/2012;02:00:00;Flamengo RJ;Atletico-MG;2;1;C
2012;29/09/2012;22:30:00;Cruzeiro;Internacional;0;0;e
2012;29/09/2012;22:30:00;Nautico;Atletico GO;2;0;C
2012;29/09/2012;22:30:00;Portuguesa;Atletico-MG;1;1;e
2012;29/09/2012;22:30:00;Vasco;Figueirense;3;1;C
2012;30/09/2012;01:00:00;Palmeiras;Ponte Preta;3;0;C
2012;30/09/2012;20:00:00;Bahia;Botafogo RJ;2;0;C
2012;30/09/2012;20:00:00;Corinthians;Sport Recife;3;0;C
2012;30/09/2012;20:00:00;Coritiba;Sao Paulo;1;1;e
2012;30/09/2012;20:00:00;Flamengo RJ;Fluminense;0;1;F
2012;30/09/2012;22:30:00;Gremio;Santos;1;1;e
2012;05/10/2012;01:00:00;Coritiba;Ponte Preta;1;0;C
2012;05/10/2012;01:00:00;Flamengo RJ;Bahia;0;0;e
2012;05/10/2012;01:00:00;Portuguesa;Sport Recife;5;1;C
2012;06/10/2012;20:00:00;Sao Paulo;Palmeiras;3;0;C
2012;06/10/2012;20:20:00;Atletico GO;Vasco;0;1;F
2012;06/10/2012;20:20:00;Nautico;Corinthians;2;1;C
2012;06/10/2012;20:20:00;Santos;Internacional;1;1;e
2012;06/10/2012;22:30:00;Atletico-MG;Figueirense;6;0;C
2012;06/10/2012;22:30:00;Fluminense;Botafogo RJ;1;0;C
2012;06/10/2012;22:30:00;Gremio;Cruzeiro;2;1;C
2012;10/10/2012;23:30:00;Bahia;Fluminense;0;2;F
2012;10/10/2012;23:30:00;Botafogo RJ;Santos;0;2;F
2012;10/10/2012;23:30:00;Cruzeiro;Portuguesa;2;0;C
2012;10/10/2012;23:30:00;Figueirense;Atletico GO;3;1;C
2012;10/10/2012;23:30:00;Ponte Preta;Nautico;2;1;C
2012;11/10/2012;02:00:00;Corinthians;Flamengo RJ;3;2;C
2012;11/10/2012;02:00:00;Internacional;Atletico-MG;3;0;C
2012;11/10/2012;02:00:00;Vasco;Sao Paulo;0;2;F
2012;12/10/2012;01:00:00;Palmeiras;Coritiba;0;1;F
2012;12/10/2012;01:00:00;Sport Recife;Gremio;1;3;F
2012;13/10/2012;22:30:00;Atletico GO;Internacional;3;1;C
2012;13/10/2012;22:30:00;Flamengo RJ;Cruzeiro;1;1;e
2012;14/10/2012;01:00:00;Portuguesa;Corinthians;1;1;e
2012;14/10/2012;20:00:00;Atletico-MG;Sport Recife;2;1;C
2012;14/10/2012;20:00:00;Coritiba;Bahia;2;1;C
2012;14/10/2012;20:00:00;Nautico;Palmeiras;1;0;C
2012;14/10/2012;20:00:00;Santos;Vasco;2;0;C
2012;14/10/2012;20:00:00;Sao Paulo;Figueirense;2;0;C
2012;14/10/2012;22:30:00;Fluminense;Ponte Preta;2;1;C
2012;14/10/2012;22:30:00;Gremio;Botafogo RJ;1;1;e
2012;17/10/2012;23:30:00;Bahia;Palmeiras;0;1;F
2012;17/10/2012;23:30:00;Coritiba;Nautico;2;1;C
2012;17/10/2012;23:30:00;Fluminense;Gremio;2;2;e
2012;17/10/2012;23:30:00;Internacional;Figueirense;2;3;F
2012;18/10/2012;02:00:00;Cruzeiro;Corinthians;2;0;C
2012;18/10/2012;02:00:00;Portuguesa;Flamengo RJ;0;0;e
2012;18/10/2012;02:00:00;Santos;Atletico-MG;2;2;e
2012;19/10/2012;01:00:00;Botafogo RJ;Vasco;3;2;C
2012;19/10/2012;01:00:00;Sao Paulo;Atletico GO;2;0;C
2012;19/10/2012;01:00:00;Sport Recife;Ponte Preta;3;1;C
2012;20/10/2012;22:30:00;Corinthians;Bahia;1;1;e
2012;20/10/2012;22:30:00;Gremio;Coritiba;0;0;e
2012;20/10/2012;22:30:00;Palmeiras;Cruzeiro;2;0;C
2012;21/10/2012;19:00:00;Atletico-MG;Fluminense;3;2;C
2012;21/10/2012;19:00:00;Flamengo RJ;Sao Paulo;1;0;C
2012;21/10/2012;19:00:00;Nautico;Portuguesa;0;0;e
2012;21/10/2012;21:30:00;Atletico GO;Sport Recife;0;1;F
2012;21/10/2012;21:30:00;Ponte Preta;Santos;1;0;C
2012;24/10/2012;23:30:00;Vasco;Internacional;1;2;F
2012;25/10/2012;01:00:00;Figueirense;Botafogo RJ;0;2;F
2012;26/10/2012;00:00:00;Fluminense;Coritiba;2;1;C
2012;26/10/2012;00:00:00;Ponte Preta;Cruzeiro;1;0;C
2012;26/10/2012;00:00:00;Santos;Nautico;0;0;e
2012;27/10/2012;19:20:00;Corinthians;Vasco;1;0;C
